NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02,Temp_M03,EC_M03,source
0.0,25.0,1,25.0,2473.0,78.0,2499.0,89.0,,,excel
0.0,25.0,1,25.0,2223.0,49.0,2650.0,95.0,2499.0,89.0,csv_heatplate
0.0,25.0,2,25.0,2446.0,77.0,2516.0,87.0,,,excel
0.0,25.0,2,25.0,2216.0,49.0,2398.0,93.0,2516.0,87.0,csv_heatplate
0.0,25.0,3,26.0,2507.0,78.0,2548.0,91.0,,,excel
0.0,25.0,3,25.0,2135.0,46.0,2485.0,94.0,2548.0,91.0,csv_heatplate
0.0,25.0,4,26.0,2548.0,80.0,2606.0,93.0,,,excel
0.0,25.0,4,25.0,2245.0,47.0,2475.0,94.0,2606.0,93.0,csv_heatplate
0.0,25.0,5,26.0,2543.0,81.0,2604.0,87.0,,,excel
0.0,25.0,5,25.0,2284.0,48.0,2480.0,93.0,2604.0,87.0,csv_heatplate
0.0,30.0,1,30.0,3020.0,82.0,2971.0,89.0,,,excel
0.0,30.0,1,30.0,2873.0,57.0,3069.0,96.0,2971.0,89.0,csv_heatplate
0.0,30.0,2,30.0,2946.0,82.0,2883.0,57.0,,,excel
0.0,30.0,2,30.0,3004.0,64.0,3053.0,98.0,2883.0,57.0,csv_heatplate
0.0,30.0,3,30.0,2913.0,80.0,2966.0,94.0,,,excel
0.0,30.0,3,30.0,3014.0,59.0,3074.0,99.0,2966.0,94.0,csv_heatplate
0.0,30.0,4,30.0,3025.0,83.0,2997.0,89.0,,,excel
0.0,30.0,4,30.0,3025.0,52.0,3064.0,98.0,2997.0,89.0,csv_heatplate
0.0,30.0,5,30.0,2954.0,80.0,2986.0,82.0,,,excel
0.0,30.0,5,30.0,3030.0,51.0,3105.0,98.0,2986.0,82.0,csv_heatplate
0.0,40.0,1,40.0,3892.0,89.0,3706.0,105.0,,,excel
0.0,40.0,1,40.0,3836.0,52.0,3898.0,103.0,3706.0,105.0,csv_heatplate
0.0,40.0,2,40.0,3954.0,89.0,3886.0,105.0,,,excel
0.0,40.0,2,40.0,3936.0,52.0,3939.0,105.0,3886.0,105.0,csv_heatplate
0.0,40.0,3,40.0,4051.0,88.0,4039.0,109.0,,,excel
0.0,40.0,3,40.0,3901.0,52.0,3871.0,104.0,4039.0,109.0,csv_heatplate
0.0,40.0,4,41.0,4036.0,92.0,3895.0,105.0,,,excel
0.0,40.0,4,40.0,3856.0,51.0,3901.0,104.0,3895.0,105.0,csv_heatplate
0.0,40.0,5,40.0,3951.0,94.0,3850.0,103.0,,,excel
0.0,40.0,5,40.0,3941.0,52.0,3927.0,104.0,3850.0,103.0,csv_heatplate
0.0,50.0,1,50.0,5029.0,101.0,4554.0,112.0,,,excel
0.0,50.0,1,50.0,5041.0,67.0,5136.0,120.0,4554.0,112.0,csv_heatplate
0.0,50.0,2,50.0,5022.0,100.0,4582.0,109.0,,,excel
0.0,50.0,2,50.0,5040.0,70.0,4827.0,122.0,4582.0,109.0,csv_heatplate
0.0,50.0,3,50.0,5006.0,98.0,4617.0,108.0,,,excel
0.0,50.0,3,50.0,4994.0,64.0,4894.0,126.0,4617.0,108.0,csv_heatplate
0.0,50.0,4,50.0,4998.0,100.0,4710.0,107.0,,,excel
0.0,50.0,4,50.0,4830.0,63.0,5032.0,126.0,4710.0,107.0,csv_heatplate
0.0,50.0,5,50.0,5049.0,99.0,4724.0,105.0,,,excel
0.0,50.0,5,50.0,4948.0,69.0,5003.0,125.0,4724.0,105.0,csv_heatplate
0.0,60.0,1,61.0,5860.0,109.0,5381.0,117.0,,,excel
0.0,60.0,1,60.0,6016.0,62.0,6053.0,137.0,5381.0,117.0,csv_heatplate
0.0,60.0,2,62.0,6236.0,106.0,5584.0,119.0,,,excel
0.0,60.0,2,60.0,5835.0,68.0,6102.0,141.0,5584.0,119.0,csv_heatplate
0.0,60.0,3,61.0,6119.0,107.0,5557.0,115.0,,,excel
0.0,60.0,3,60.0,5911.0,64.0,6003.0,142.0,5557.0,115.0,csv_heatplate
0.0,60.0,4,60.0,5921.0,107.0,5220.0,114.0,,,excel
0.0,60.0,4,60.0,6011.0,67.0,6021.0,140.0,5220.0,114.0,csv_heatplate
0.0,60.0,5,60.0,6037.0,107.0,5170.0,123.0,,,excel
0.0,60.0,5,60.0,6102.0,67.0,6011.0,135.0,5170.0,123.0,csv_heatplate
0.0,70.0,1,71.0,7107.0,116.0,6032.0,124.0,,,excel
0.0,70.0,1,70.0,6981.0,71.0,6945.0,162.0,6032.0,124.0,csv_heatplate
0.0,70.0,2,70.0,7054.0,117.0,6312.0,124.0,,,excel
0.0,70.0,2,70.0,6994.0,70.0,7099.0,163.0,6312.0,124.0,csv_heatplate
0.0,70.0,3,70.0,7153.0,112.0,6633.0,120.0,,,excel
0.0,70.0,3,70.0,7035.0,69.0,7023.0,168.0,6633.0,120.0,csv_heatplate
0.0,70.0,4,70.0,7208.0,115.0,6429.0,124.0,,,excel
0.0,70.0,4,70.0,7018.0,71.0,6898.0,160.0,6429.0,124.0,csv_heatplate
0.0,70.0,5,71.0,7265.0,115.0,6431.0,121.0,,,excel
0.0,70.0,5,70.0,7132.0,70.0,7100.0,161.0,6431.0,121.0,csv_heatplate
0.0,80.0,1,81.0,8379.0,137.0,8285.0,152.0,,,excel
0.0,80.0,1,80.0,7935.0,70.0,8009.0,222.0,8285.0,152.0,csv_heatplate
0.0,80.0,2,82.0,8476.0,133.0,8227.0,152.0,,,excel
0.0,80.0,2,80.0,7896.0,69.0,8192.0,215.0,8227.0,152.0,csv_heatplate
0.0,80.0,3,84.0,8655.0,130.0,8476.0,157.0,,,excel
0.0,80.0,3,80.0,8127.0,71.0,8105.0,190.0,8476.0,157.0,csv_heatplate
0.0,80.0,4,85.0,8859.0,136.0,7739.0,150.0,,,excel
0.0,80.0,4,80.0,8084.0,69.0,8171.0,211.0,7739.0,150.0,csv_heatplate
0.0,80.0,5,87.0,8989.0,136.0,8789.0,154.0,,,excel
0.0,80.0,5,80.0,8073.0,70.0,7946.0,218.0,8789.0,154.0,csv_heatplate
0.1,25.0,1,25.0,2485.0,217.0,2470.0,233.0,,,excel
0.1,25.0,1,25.0,2586.0,86.0,2312.0,233.0,2470.0,233.0,csv_heatplate
0.1,25.0,2,25.0,2485.0,213.0,2526.0,237.0,,,excel
0.1,25.0,2,25.0,2491.0,85.0,2257.0,228.0,2526.0,237.0,csv_heatplate
0.1,25.0,3,26.0,2565.0,218.0,2587.0,231.0,,,excel
0.1,25.0,3,25.0,2596.0,86.0,2250.0,226.0,2587.0,231.0,csv_heatplate
0.1,25.0,4,26.0,2558.0,218.0,2614.0,240.0,,,excel
0.1,25.0,4,25.0,2545.0,85.0,2259.0,229.0,2614.0,240.0,csv_heatplate
0.1,25.0,5,26.0,2563.0,215.0,2587.0,237.0,,,excel
0.1,25.0,5,25.0,2487.0,87.0,2209.0,229.0,2587.0,237.0,csv_heatplate
0.1,30.0,1,30.0,2971.0,225.0,2821.0,247.0,,,excel
0.1,30.0,1,30.0,3009.0,92.0,3012.0,252.0,2821.0,247.0,csv_heatplate
0.1,30.0,2,31.0,2954.0,230.0,2841.0,248.0,,,excel
0.1,30.0,2,30.0,2903.0,95.0,3144.0,250.0,2841.0,248.0,csv_heatplate
0.1,30.0,3,30.0,3012.0,231.0,2908.0,249.0,,,excel
0.1,30.0,3,30.0,2971.0,93.0,3006.0,248.0,2908.0,249.0,csv_heatplate
0.1,30.0,4,31.0,2999.0,290.0,2838.0,246.0,,,excel
0.1,30.0,4,30.0,2946.0,95.0,2976.0,241.0,2838.0,246.0,csv_heatplate
0.1,30.0,5,30.0,2969.0,231.0,2856.0,244.0,,,excel
0.1,30.0,5,30.0,2926.0,96.0,2974.0,256.0,2856.0,244.0,csv_heatplate
0.1,40.0,1,40.0,3987.0,262.0,3666.0,233.0,,,excel
0.1,40.0,1,40.0,3912.0,103.0,3842.0,288.0,3666.0,233.0,csv_heatplate
0.1,40.0,2,40.0,3966.0,253.0,3602.0,278.0,,,excel
0.1,40.0,2,40.0,3990.0,103.0,3886.0,292.0,3602.0,278.0,csv_heatplate
0.1,40.0,3,41.0,4100.0,263.0,3845.0,279.0,,,excel
0.1,40.0,3,40.0,3976.0,108.0,3909.0,291.0,3845.0,279.0,csv_heatplate
0.1,40.0,4,40.0,3924.0,255.0,3546.0,276.0,,,excel
0.1,40.0,4,40.0,3939.0,100.0,3859.0,291.0,3546.0,276.0,csv_heatplate
0.1,40.0,5,40.0,3898.0,260.0,3510.0,273.0,,,excel
0.1,40.0,5,40.0,3898.0,103.0,3959.0,292.0,3510.0,273.0,csv_heatplate
0.1,50.0,1,51.0,4994.0,289.0,4649.0,319.0,,,excel
0.1,50.0,1,50.0,5091.0,115.0,4981.0,345.0,4649.0,319.0,csv_heatplate
0.1,50.0,2,50.0,4875.0,288.0,4359.0,310.0,,,excel
0.1,50.0,2,50.0,4957.0,114.0,4947.0,347.0,4359.0,310.0,csv_heatplate
0.1,50.0,3,50.0,5061.0,209.0,4724.0,322.0,,,excel
0.1,50.0,3,50.0,5013.0,112.0,4951.0,343.0,4724.0,322.0,csv_heatplate
0.1,50.0,4,51.0,5117.0,301.0,4541.0,325.0,,,excel
0.1,50.0,4,50.0,5068.0,124.0,5023.0,345.0,4541.0,325.0,csv_heatplate
0.1,50.0,5,51.0,5101.0,299.0,4764.0,318.0,,,excel
0.1,50.0,5,50.0,4910.0,119.0,5100.0,346.0,4764.0,318.0,csv_heatplate
0.1,60.0,1,60.0,6086.0,325.0,5584.0,353.0,,,excel
0.1,60.0,1,60.0,5902.0,124.0,5810.0,385.0,5584.0,353.0,csv_heatplate
0.1,60.0,2,60.0,6102.0,325.0,5373.0,345.0,,,excel
0.1,60.0,2,60.0,5946.0,124.0,5931.0,374.0,5373.0,345.0,csv_heatplate
0.1,60.0,3,60.0,6021.0,320.0,5348.0,548.0,,,excel
0.1,60.0,3,60.0,5897.0,126.0,6048.0,377.0,5348.0,548.0,csv_heatplate
0.1,60.0,4,60.0,6011.0,319.0,5430.0,348.0,,,excel
0.1,60.0,4,60.0,6021.0,122.0,6064.0,381.0,5430.0,348.0,csv_heatplate
0.1,60.0,5,60.0,5984.0,321.0,5421.0,356.0,,,excel
0.1,60.0,5,60.0,6045.0,125.0,6012.0,379.0,5421.0,356.0,csv_heatplate
0.1,70.0,1,71.0,7232.0,345.0,6450.0,387.0,,,excel
0.1,70.0,1,70.0,6913.0,130.0,6985.0,413.0,6450.0,387.0,csv_heatplate
0.1,70.0,2,70.0,6836.0,330.0,6108.0,378.0,,,excel
0.1,70.0,2,70.0,6845.0,132.0,7001.0,411.0,6108.0,378.0,csv_heatplate
0.1,70.0,3,70.0,7084.0,356.0,6499.0,394.0,,,excel
0.1,70.0,3,70.0,7064.0,132.0,7046.0,410.0,6499.0,394.0,csv_heatplate
0.1,70.0,4,72.0,7281.0,35.0,6794.0,348.0,,,excel
0.1,70.0,4,70.0,6841.0,134.0,7001.0,406.0,6794.0,348.0,csv_heatplate
0.1,70.0,5,71.0,7138.0,353.0,5697.0,389.0,,,excel
0.1,70.0,5,70.0,7162.0,131.0,6987.0,401.0,5697.0,389.0,csv_heatplate
0.1,80.0,1,80.0,7968.0,403.0,6277.0,414.0,,,excel
0.1,80.0,1,80.0,7999.0,144.0,8013.0,458.0,6277.0,414.0,csv_heatplate
0.1,80.0,2,82.0,8308.0,417.0,7599.0,459.0,,,excel
0.1,80.0,2,80.0,7906.0,145.0,7916.0,457.0,7599.0,459.0,csv_heatplate
0.1,80.0,3,81.0,8084.0,423.0,7305.0,447.0,,,excel
0.1,80.0,3,80.0,7938.0,142.0,7927.0,450.0,7305.0,447.0,csv_heatplate
0.1,80.0,4,80.0,8116.0,430.0,7001.0,441.0,,,excel
0.1,80.0,4,80.0,7999.0,140.0,7988.0,450.0,7001.0,441.0,csv_heatplate
0.1,80.0,5,80.0,8160.0,417.0,7501.0,437.0,,,excel
0.1,80.0,5,80.0,7856.0,142.0,7947.0,459.0,7501.0,437.0,csv_heatplate
0.2,25.0,1,25.0,2434.0,305.0,2423.0,116.0,,,excel
0.2,25.0,1,25.0,2173.0,115.0,2276.0,338.0,2423.0,116.0,csv_heatplate
0.2,25.0,2,25.0,2470.0,306.0,2529.0,339.0,,,excel
0.2,25.0,2,25.0,2121.0,116.0,2283.0,337.0,2529.0,339.0,csv_heatplate
0.2,25.0,3,26.0,2529.0,305.0,2567.0,234.0,,,excel
0.2,25.0,3,25.0,2261.0,115.0,2300.0,334.0,2567.0,234.0,csv_heatplate
0.2,25.0,4,26.0,2548.0,310.0,2611.0,341.0,,,excel
0.2,25.0,4,25.0,2052.0,116.0,2312.0,335.0,2611.0,341.0,csv_heatplate
0.2,25.0,5,26.0,2541.0,315.0,2553.0,337.0,,,excel
0.2,25.0,5,25.0,2090.0,115.0,2276.0,337.0,2553.0,337.0,csv_heatplate
0.2,30.0,1,30.0,2992.0,327.0,2878.0,352.0,,,excel
0.2,30.0,1,30.0,3010.0,133.0,3077.0,410.0,2878.0,352.0,csv_heatplate
0.2,30.0,2,30.0,2928.0,328.0,2739.0,348.0,,,excel
0.2,30.0,2,30.0,2921.0,130.0,3056.0,405.0,2739.0,348.0,csv_heatplate
0.2,30.0,3,30.0,2964.0,325.0,2898.0,360.0,,,excel
0.2,30.0,3,30.0,2923.0,132.0,2933.0,391.0,2898.0,360.0,csv_heatplate
0.2,30.0,4,30.0,2938.0,326.0,2781.0,354.0,,,excel
0.2,30.0,4,30.0,2883.0,132.0,3035.0,399.0,2781.0,354.0,csv_heatplate
0.2,30.0,5,30.0,2892.0,320.0,2702.0,351.0,,,excel
0.2,30.0,5,30.0,2891.0,131.0,2953.0,400.0,2702.0,351.0,csv_heatplate
0.2,40.0,1,40.0,3999.0,363.0,3524.0,393.0,,,excel
0.2,40.0,1,40.0,3915.0,146.0,3892.0,436.0,3524.0,393.0,csv_heatplate
0.2,40.0,2,41.0,4004.0,371.0,3692.0,405.0,,,excel
0.2,40.0,2,40.0,3993.0,147.0,4153.0,434.0,3692.0,405.0,csv_heatplate
0.2,40.0,3,40.0,3948.0,368.0,3661.0,408.0,,,excel
0.2,40.0,3,40.0,3918.0,147.0,4141.0,435.0,3661.0,408.0,csv_heatplate
0.2,40.0,4,40.0,4116.0,371.0,3723.0,409.0,,,excel
0.2,40.0,4,40.0,3939.0,148.0,4141.0,430.0,3723.0,409.0,csv_heatplate
0.2,40.0,5,41.0,4082.0,377.0,3709.0,408.0,,,excel
0.2,40.0,5,40.0,3930.0,147.0,4074.0,436.0,3709.0,408.0,csv_heatplate
0.2,50.0,1,50.0,5121.0,420.0,4469.0,454.0,,,excel
0.2,50.0,1,50.0,4827.0,163.0,5061.0,493.0,4469.0,454.0,csv_heatplate
0.2,50.0,2,50.0,4967.0,417.0,4408.0,451.0,,,excel
0.2,50.0,2,50.0,4906.0,162.0,5109.0,483.0,4408.0,451.0,csv_heatplate
0.2,50.0,3,50.0,4944.0,407.0,4554.0,457.0,,,excel
0.2,50.0,3,50.0,4864.0,162.0,4994.0,489.0,4554.0,457.0,csv_heatplate
0.2,50.0,4,50.0,4998.0,416.0,4493.0,457.0,,,excel
0.2,50.0,4,50.0,4963.0,164.0,4940.0,493.0,4493.0,457.0,csv_heatplate
0.2,50.0,5,50.0,5033.0,416.0,4527.0,455.0,,,excel
0.2,50.0,5,50.0,4960.0,163.0,4868.0,490.0,4527.0,455.0,csv_heatplate
0.2,60.0,1,60.0,6135.0,474.0,5443.0,510.0,,,excel
0.2,60.0,1,60.0,5958.0,184.0,6023.0,562.0,5443.0,510.0,csv_heatplate
0.2,60.0,2,60.0,6113.0,416.0,5448.0,466.0,,,excel
0.2,60.0,2,60.0,5986.0,185.0,6089.0,553.0,5448.0,466.0,csv_heatplate
0.2,60.0,3,60.0,5906.0,468.0,5228.0,454.0,,,excel
0.2,60.0,3,60.0,6100.0,184.0,6145.0,571.0,5228.0,454.0,csv_heatplate
0.2,60.0,4,60.0,6011.0,469.0,5312.0,499.0,,,excel
0.2,60.0,4,60.0,6037.0,181.0,6023.0,564.0,5312.0,499.0,csv_heatplate
0.2,60.0,5,60.0,6037.0,464.0,5249.0,510.0,,,excel
0.2,60.0,5,60.0,6074.0,182.0,5952.0,568.0,5249.0,510.0,csv_heatplate
0.2,70.0,1,70.0,6914.0,483.0,6219.0,538.0,,,excel
0.2,70.0,1,70.0,6924.0,188.0,7059.0,638.0,6219.0,538.0,csv_heatplate
0.2,70.0,2,70.0,7154.0,503.0,6248.0,565.0,,,excel
0.2,70.0,2,70.0,7008.0,192.0,7031.0,637.0,6248.0,565.0,csv_heatplate
0.2,70.0,3,70.0,7039.0,499.0,6353.0,544.0,,,excel
0.2,70.0,3,70.0,7089.0,191.0,6949.0,645.0,6353.0,544.0,csv_heatplate
0.2,70.0,4,70.0,7092.0,502.0,6169.0,560.0,,,excel
0.2,70.0,4,70.0,6894.0,190.0,7171.0,656.0,6169.0,560.0,csv_heatplate
0.2,70.0,5,70.0,7031.0,494.0,6419.0,544.0,,,excel
0.2,70.0,5,70.0,7100.0,193.0,6978.0,640.0,6419.0,544.0,csv_heatplate
0.2,80.0,1,81.0,7406.0,667.0,6767.0,714.0,,,excel
0.2,80.0,1,80.0,8100.0,205.0,7932.0,708.0,6767.0,714.0,csv_heatplate
0.2,80.0,2,82.0,8262.0,637.0,7645.0,769.0,,,excel
0.2,80.0,2,80.0,7964.0,199.0,7964.0,716.0,7645.0,769.0,csv_heatplate
0.2,80.0,3,83.0,8488.0,673.0,7256.0,772.0,,,excel
0.2,80.0,3,80.0,8046.0,198.0,8001.0,714.0,7256.0,772.0,csv_heatplate
0.2,80.0,4,84.0,8516.0,685.0,7937.0,791.0,,,excel
0.2,80.0,4,80.0,7835.0,199.0,8084.0,706.0,7937.0,791.0,csv_heatplate
0.2,80.0,5,85.0,8708.0,676.0,7988.0,795.0,,,excel
0.2,80.0,5,80.0,8142.0,196.0,8095.0,712.0,7988.0,795.0,csv_heatplate
0.3,25.0,1,25.0,2439.0,382.0,2444.0,401.0,,,excel
0.3,25.0,1,25.0,2209.0,147.0,2325.0,422.0,2444.0,401.0,csv_heatplate
0.3,25.0,2,25.0,2473.0,325.0,2519.0,124.0,,,excel
0.3,25.0,2,25.0,2238.0,147.0,2257.0,421.0,2519.0,124.0,csv_heatplate
0.3,25.0,3,26.0,2512.0,388.0,2565.0,389.0,,,excel
0.3,25.0,3,25.0,2207.0,147.0,2271.0,423.0,2565.0,389.0,csv_heatplate
0.3,25.0,4,26.0,2543.0,390.0,2602.0,406.0,,,excel
0.3,25.0,4,25.0,2185.0,148.0,2240.0,422.0,2602.0,406.0,csv_heatplate
0.3,25.0,5,26.0,2509.0,387.0,2524.0,414.0,,,excel
0.3,25.0,5,25.0,2192.0,146.0,2245.0,423.0,2524.0,414.0,csv_heatplate
0.3,30.0,1,30.0,2954.0,413.0,2836.0,419.0,,,excel
0.3,30.0,1,30.0,2969.0,163.0,2992.0,486.0,2836.0,419.0,csv_heatplate
0.3,30.0,2,30.0,2908.0,409.0,2813.0,430.0,,,excel
0.3,30.0,2,30.0,2956.0,135.0,3103.0,489.0,2813.0,430.0,csv_heatplate
0.3,30.0,3,30.0,2957.0,409.0,2878.0,397.0,,,excel
0.3,30.0,3,30.0,2911.0,163.0,3164.0,488.0,2878.0,397.0,csv_heatplate
0.3,30.0,4,30.0,2949.0,413.0,2781.0,412.0,,,excel
0.3,30.0,4,30.0,2893.0,164.0,3003.0,482.0,2781.0,412.0,csv_heatplate
0.3,30.0,5,30.0,2903.0,401.0,2702.0,427.0,,,excel
0.3,30.0,5,30.0,3002.0,165.0,2971.0,486.0,2702.0,427.0,csv_heatplate
0.3,40.0,1,40.0,3827.0,461.0,3469.0,494.0,,,excel
0.3,40.0,1,40.0,3880.0,189.0,4063.0,553.0,3469.0,494.0,csv_heatplate
0.3,40.0,2,40.0,3909.0,475.0,3647.0,503.0,,,excel
0.3,40.0,2,40.0,3956.0,187.0,3999.0,551.0,3647.0,503.0,csv_heatplate
0.3,40.0,3,41.0,3951.0,470.0,3669.0,504.0,,,excel
0.3,40.0,3,40.0,3907.0,183.0,3978.0,545.0,3669.0,504.0,csv_heatplate
0.3,40.0,4,40.0,3948.0,465.0,3663.0,503.0,,,excel
0.3,40.0,4,40.0,3930.0,185.0,3951.0,545.0,3663.0,503.0,csv_heatplate
0.3,40.0,5,40.0,3856.0,471.0,3543.0,501.0,,,excel
0.3,40.0,5,40.0,3921.0,188.0,3999.0,551.0,3543.0,501.0,csv_heatplate
0.3,50.0,1,50.0,4910.0,528.0,4392.0,563.0,,,excel
0.3,50.0,1,50.0,4936.0,202.0,5104.0,629.0,4392.0,563.0,csv_heatplate
0.3,50.0,2,50.0,4875.0,539.0,4379.0,577.0,,,excel
0.3,50.0,2,50.0,5026.0,202.0,5086.0,627.0,4379.0,577.0,csv_heatplate
0.3,50.0,3,50.0,4898.0,530.0,4258.0,505.0,,,excel
0.3,50.0,3,50.0,4929.0,203.0,5050.0,623.0,4258.0,505.0,csv_heatplate
0.3,50.0,4,50.0,4990.0,541.0,4449.0,534.0,,,excel
0.3,50.0,4,50.0,4920.0,201.0,4938.0,630.0,4449.0,534.0,csv_heatplate
0.3,50.0,5,50.0,4917.0,537.0,4589.0,458.0,,,excel
0.3,50.0,5,50.0,4952.0,203.0,5039.0,637.0,4589.0,458.0,csv_heatplate
0.3,60.0,1,61.0,5825.0,588.0,5191.0,537.0,,,excel
0.3,60.0,1,60.0,6041.0,217.0,5932.0,694.0,5191.0,537.0,csv_heatplate
0.3,60.0,2,61.0,5953.0,608.0,5377.0,616.0,,,excel
0.3,60.0,2,60.0,6023.0,218.0,6081.0,686.0,5377.0,616.0,csv_heatplate
0.3,60.0,3,60.0,5810.0,607.0,4944.0,608.0,,,excel
0.3,60.0,3,60.0,5915.0,217.0,6043.0,699.0,4944.0,608.0,csv_heatplate
0.3,60.0,4,60.0,5974.0,583.0,5249.0,634.0,,,excel
0.3,60.0,4,60.0,5987.0,219.0,6065.0,702.0,5249.0,634.0,csv_heatplate
0.3,60.0,5,60.0,6016.0,597.0,5501.0,610.0,,,excel
0.3,60.0,5,60.0,5968.0,216.0,5896.0,696.0,5501.0,610.0,csv_heatplate
0.3,70.0,1,70.0,7076.0,681.0,6180.0,731.0,,,excel
0.3,70.0,1,70.0,7011.0,233.0,6911.0,751.0,6180.0,731.0,csv_heatplate
0.3,70.0,2,70.0,7099.0,675.0,6474.0,704.0,,,excel
0.3,70.0,2,70.0,6912.0,231.0,6942.0,764.0,6474.0,704.0,csv_heatplate
0.3,70.0,3,70.0,7169.0,662.0,6318.0,692.0,,,excel
0.3,70.0,3,70.0,6843.0,228.0,6994.0,763.0,6318.0,692.0,csv_heatplate
0.3,70.0,4,70.0,6871.0,641.0,6916.0,679.0,,,excel
0.3,70.0,4,70.0,6851.0,228.0,7024.0,749.0,6916.0,679.0,csv_heatplate
0.3,70.0,5,71.0,7130.0,626.0,7196.0,500.0,,,excel
0.3,70.0,5,70.0,6900.0,232.0,6994.0,757.0,7196.0,500.0,csv_heatplate
0.3,80.0,1,80.0,7928.0,727.0,7240.0,727.0,,,excel
0.3,80.0,1,80.0,7967.0,242.0,8210.0,875.0,7240.0,727.0,csv_heatplate
0.3,80.0,2,80.0,7928.0,788.0,7009.0,741.0,,,excel
0.3,80.0,2,80.0,8105.0,240.0,8052.0,872.0,7009.0,741.0,csv_heatplate
0.3,80.0,3,80.0,8182.0,800.0,7787.0,935.0,,,excel
0.3,80.0,3,80.0,8025.0,239.0,8084.0,872.0,7787.0,935.0,csv_heatplate
0.3,80.0,4,83.0,8451.0,795.0,7501.0,935.0,,,excel
0.3,80.0,4,80.0,7939.0,237.0,7961.0,869.0,7501.0,935.0,csv_heatplate
