NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02
0.0,25,1,25,2473.0,78.0,2499,89.0
0.0,25,2,25,2446.0,77.0,2516,87.0
0.0,25,3,26,2507.0,78.0,2548,91.0
0.0,25,4,26,2548.0,80.0,2606,93.0
0.0,25,5,26,2543.0,81.0,2604,87.0
0.0,30,1,30,3020.0,82.0,2971,89.0
0.0,30,2,30,2946.0,82.0,2883,57.0
0.0,30,3,30,2913.0,80.0,2966,94.0
0.0,30,4,30,3025.0,83.0,2997,89.0
0.0,30,5,30,2954.0,80.0,2986,82.0
0.0,40,1,40,3892.0,89.0,3706,105.0
0.0,40,2,40,3954.0,89.0,3886,105.0
0.0,40,3,40,4051.0,88.0,4039,109.0
0.0,40,4,41,4036.0,92.0,3895,105.0
0.0,40,5,40,3951.0,94.0,3850,103.0
0.0,50,1,50,5029.0,101.0,4554,112.0
0.0,50,2,50,5022.0,100.0,4582,109.0
0.0,50,3,50,5006.0,98.0,4617,108.0
0.0,50,4,50,4998.0,100.0,4710,107.0
0.0,50,5,50,5049.0,99.0,4724,105.0
0.0,60,1,61,5860.0,109.0,5381,117.0
0.0,60,2,62,6236.0,106.0,5584,119.0
0.0,60,3,61,6119.0,107.0,5557,115.0
0.0,60,4,60,5921.0,107.0,5220,114.0
0.0,60,5,60,6037.0,107.0,5170,123.0
0.0,70,1,71,7107.0,116.0,6032,124.0
0.0,70,2,70,7054.0,117.0,6312,124.0
0.0,70,3,70,7153.0,112.0,6633,120.0
0.0,70,4,70,7208.0,115.0,6429,124.0
0.0,70,5,71,7265.0,115.0,6431,121.0
0.0,80,1,81,8379.0,137.0,8285,152.0
0.0,80,2,82,8476.0,133.0,8227,152.0
0.0,80,3,84,8655.0,130.0,8476,157.0
0.0,80,4,85,8859.0,136.0,7739,150.0
0.0,80,5,87,8989.0,136.0,8789,154.0
0.1,25,1,25,2485.0,217.0,2470,233.0
0.1,25,2,25,2485.0,213.0,2526,237.0
0.1,25,3,26,2565.0,218.0,2587,231.0
0.1,25,4,26,2558.0,218.0,2614,240.0
0.1,25,5,26,2563.0,215.0,2587,237.0
0.1,30,1,30,2971.0,225.0,2821,247.0
0.1,30,2,31,2954.0,230.0,2841,248.0
0.1,30,3,30,3012.0,231.0,2908,249.0
0.1,30,4,31,2999.0,290.0,2838,246.0
0.1,30,5,30,2969.0,231.0,2856,244.0
0.1,40,1,40,3987.0,262.0,3666,233.0
0.1,40,2,40,3966.0,253.0,3602,278.0
0.1,40,3,41,4100.0,263.0,3845,279.0
0.1,40,4,40,3924.0,255.0,3546,276.0
0.1,40,5,40,3898.0,260.0,3510,273.0
0.1,50,1,51,4994.0,289.0,4649,319.0
0.1,50,2,50,4875.0,288.0,4359,310.0
0.1,50,3,50,5061.0,209.0,4724,322.0
0.1,50,4,51,5117.0,301.0,4541,325.0
0.1,50,5,51,5101.0,299.0,4764,318.0
0.1,60,1,60,6086.0,325.0,5584,353.0
0.1,60,2,60,6102.0,325.0,5373,345.0
0.1,60,3,60,6021.0,320.0,5348,548.0
0.1,60,4,60,6011.0,319.0,5430,348.0
0.1,60,5,60,5984.0,321.0,5421,356.0
0.1,70,1,71,7232.0,345.0,6450,387.0
0.1,70,2,70,6836.0,330.0,6108,378.0
0.1,70,3,70,7084.0,356.0,6499,394.0
0.1,70,4,72,7281.0,35.0,6794,348.0
0.1,70,5,71,7138.0,353.0,5697,389.0
0.1,80,1,80,7968.0,403.0,6277,414.0
0.1,80,2,82,8308.0,417.0,7599,459.0
0.1,80,3,81,8084.0,423.0,7305,447.0
0.1,80,4,80,8116.0,430.0,7001,441.0
0.1,80,5,80,8160.0,417.0,7501,437.0
0.2,25,1,25,2434.0,305.0,2423,116.0
0.2,25,2,25,2470.0,306.0,2529,339.0
0.2,25,3,26,2529.0,305.0,2567,234.0
0.2,25,4,26,2548.0,310.0,2611,341.0
0.2,25,5,26,2541.0,315.0,2553,337.0
0.2,30,1,30,2992.0,327.0,2878,352.0
0.2,30,2,30,2928.0,328.0,2739,348.0
0.2,30,3,30,2964.0,325.0,2898,360.0
0.2,30,4,30,2938.0,326.0,2781,354.0
0.2,30,5,30,2892.0,320.0,2702,351.0
0.2,40,1,40,3999.0,363.0,3524,393.0
0.2,40,2,41,4004.0,371.0,3692,405.0
0.2,40,3,40,3948.0,368.0,3661,408.0
0.2,40,4,40,4116.0,371.0,3723,409.0
0.2,40,5,41,4082.0,377.0,3709,408.0
0.2,50,1,50,5121.0,420.0,4469,454.0
0.2,50,2,50,4967.0,417.0,4408,451.0
0.2,50,3,50,4944.0,407.0,4554,457.0
0.2,50,4,50,4998.0,416.0,4493,457.0
0.2,50,5,50,5033.0,416.0,4527,455.0
0.2,60,1,60,6135.0,474.0,5443,510.0
0.2,60,2,60,6113.0,416.0,5448,466.0
0.2,60,3,60,5906.0,468.0,5228,454.0
0.2,60,4,60,6011.0,469.0,5312,499.0
0.2,60,5,60,6037.0,464.0,5249,510.0
0.2,70,1,70,6914.0,483.0,6219,538.0
0.2,70,2,70,7154.0,503.0,6248,565.0
0.2,70,3,70,7039.0,499.0,6353,544.0
0.2,70,4,70,7092.0,502.0,6169,560.0
0.2,70,5,70,7031.0,494.0,6419,544.0
0.2,80,1,81,7406.0,667.0,6767,714.0
0.2,80,2,82,8262.0,637.0,7645,769.0
0.2,80,3,83,8488.0,673.0,7256,772.0
0.2,80,4,84,8516.0,685.0,7937,791.0
0.2,80,5,85,8708.0,676.0,7988,795.0
0.3,25,1,25,2439.0,382.0,2444,401.0
0.3,25,2,25,2473.0,325.0,2519,124.0
0.3,25,3,26,2512.0,388.0,2565,389.0
0.3,25,4,26,2543.0,390.0,2602,406.0
0.3,25,5,26,2509.0,387.0,2524,414.0
0.3,30,1,30,2954.0,413.0,2836,419.0
0.3,30,2,30,2908.0,409.0,2813,430.0
0.3,30,3,30,2957.0,409.0,2878,397.0
0.3,30,4,30,2949.0,413.0,2781,412.0
0.3,30,5,30,2903.0,401.0,2702,427.0
0.3,40,1,40,3827.0,461.0,3469,494.0
0.3,40,2,40,3909.0,475.0,3647,503.0
0.3,40,3,41,3951.0,470.0,3669,504.0
0.3,40,4,40,3948.0,465.0,3663,503.0
0.3,40,5,40,3856.0,471.0,3543,501.0
0.3,50,1,50,4910.0,528.0,4392,563.0
0.3,50,2,50,4875.0,539.0,4379,577.0
0.3,50,3,50,4898.0,530.0,4258,505.0
0.3,50,4,50,4990.0,541.0,4449,534.0
0.3,50,5,50,4917.0,537.0,4589,458.0
0.3,60,1,61,5825.0,588.0,5191,537.0
0.3,60,2,61,5953.0,608.0,5377,616.0
0.3,60,3,60,5810.0,607.0,4944,608.0
0.3,60,4,60,5974.0,583.0,5249,634.0
0.3,60,5,60,6016.0,597.0,5501,610.0
0.3,70,1,70,7076.0,681.0,6180,731.0
0.3,70,2,70,7099.0,675.0,6474,704.0
0.3,70,3,70,7169.0,662.0,6318,692.0
0.3,70,4,70,6871.0,641.0,6916,679.0
0.3,70,5,71,7130.0,626.0,7196,500.0
0.3,80,1,80,7928.0,727.0,7240,727.0
0.3,80,2,80,7928.0,788.0,7009,741.0
0.3,80,3,80,8182.0,800.0,7787,935.0
0.3,80,4,83,8451.0,795.0,7501,935.0
0.3,80,5,83,8538.0,783.0,6914,954.0
0.4,25,1,25,2434.0,463.0,2451,524.0
0.4,25,2,24,2391.0,468.0,2461,532.0
0.4,25,3,24,2417.0,470.0,2444,522.0
0.4,25,4,24,2389.0,468.0,2410,529.0
0.4,25,5,24,2389.0,462.0,2264,524.0
0.4,30,1,32,3164.0,579.0,3169,591.0
0.4,30,2,31,3190.0,581.0,3148,591.0
0.4,30,3,32,3177.0,579.0,2881,577.0
0.4,30,4,31,3153.0,576.0,3130,588.0
0.4,30,5,31,3050.0,575.0,3027,519.0
0.4,40,1,39,,,3880,614.0
0.4,40,2,39,,,3862,645.0
0.4,40,3,39,,,3769,646.0
0.4,40,4,39,,,3375,647.0
0.4,40,5,39,,,3585,626.0
0.4,50,1,50,,,5037,738.0
0.4,50,2,51,,,4955,739.0
0.4,50,3,50,,,5041,740.0
0.4,50,4,50,,,5037,706.0
0.4,50,5,50,,,4921,738.0
0.4,60,1,61,,,6152,835.0
0.4,60,2,62,,,6219,832.0
0.4,60,3,62,,,6169,835.0
0.4,60,4,62,,,6146,831.0
0.4,60,5,62,,,6191,828.0
0.4,70,1,74,,,7208,941.0
0.4,70,2,74,,,7380,934.0
0.4,70,3,74,,,7423,930.0
0.4,70,4,73,,,7297,932.0
0.4,70,5,73,,,7338,933.0
0.4,80,1,79,,,7009,970.0
0.4,80,2,79,,,7431,978.0
0.4,80,3,79,,,7099,943.0
0.4,80,4,78,,,7749,990.0
0.4,80,5,78,,,6753,939.0
0.5,25,1,25,2516.0,567.0,2478,520.0
0.5,25,2,25,2456.0,524.0,2442,562.0
0.5,25,3,24,2410.0,517.0,2449,589.0
0.5,25,4,24,2424.0,523.0,2401,592.0
0.5,25,5,24,2389.0,518.0,2415,590.0
0.5,30,1,31,2994.0,585.0,2969,647.0
0.5,30,2,31,3060.0,582.0,3037,645.0
0.5,30,3,31,3099.0,591.0,3055,658.0
0.5,30,4,31,3107.0,580.0,3035,654.0
0.5,30,5,31,3043.0,586.0,3009,648.0
0.5,40,1,41,,,3695,780.0
0.5,40,2,40,,,3915,750.0
0.5,40,3,41,,,3786,751.0
0.5,40,4,41,,,3842,750.0
0.5,40,5,41,,,3933,743.0
0.5,50,1,50,,,4816,831.0
0.5,50,2,50,,,4274,827.0
0.5,50,3,50,,,4287,826.0
0.5,50,4,50,,,4600,829.0
0.5,50,5,50,,,4554,822.0
0.5,60,1,62,,,5927,942.0
0.5,60,2,63,,,5850,934.0
0.5,60,3,63,,,5906,936.0
0.5,60,4,62,,,5805,932.0
0.5,60,5,61,,,5891,927.0
0.5,70,1,73,,,7001,1024.0
0.5,70,2,74,,,7031,1038.0
0.5,70,3,74,,,7076,1037.0
0.5,70,4,74,,,7153,1024.0
0.5,70,5,74,,,7177,1035.0
0.5,80,1,81,,,7527,1109.0
0.5,80,2,82,,,7787,1079.0
0.5,80,3,82,,,7645,1090.0
0.5,80,4,83,,,7787,1106.0
0.5,80,5,83,,,7749,1111.0
0.6,25,1,24,2401.0,587.0,2357,665.0
0.6,25,2,24,2317.0,583.0,2389,668.0
0.6,25,3,24,2377.0,587.0,2357,667.0
0.6,25,4,24,2379.0,573.0,2345,658.0
0.6,25,5,23,2374.0,578.0,2381,663.0
0.6,30,1,30,2888.0,699.0,3002,728.0
0.6,30,2,30,3032.0,714.0,3007,734.0
0.6,30,3,31,3066.0,709.0,2883,744.0
0.6,30,4,31,3130.0,724.0,3083,737.0
0.6,30,5,31,3161.0,737.0,3094,744.0
0.6,40,1,40,3725.0,794.0,3546,832.0
0.6,40,2,39,3945.0,802.0,3599,834.0
0.6,40,3,39,3942.0,808.0,3568,834.0
0.6,40,4,39,3862.0,768.0,3610,823.0
0.6,40,5,41,,,3613,876.0
0.6,50,1,52,,,4688,948.0
0.6,50,2,52,,,4948,947.0
0.6,50,3,52,,,5077,953.0
0.6,50,4,52,,,5065,944.0
0.6,50,5,53,,,5018,952.0
0.6,60,1,60,,,5538,1052.0
0.6,60,2,62,,,5678,889.0
0.6,60,3,63,,,5865,1045.0
0.6,60,4,62,,,5683,1063.0
0.6,60,5,62,,,5673,1047.0
0.6,70,1,72,,,6288,1125.0
0.6,70,2,72,,,7107,1104.0
0.6,70,3,72,,,6787,1117.0
0.6,70,4,72,,,7024,1123.0
0.6,70,5,72,,,7001,1121.0
0.6,80,1,87,,,8308,1225.0
0.6,80,2,87,,,8160,1251.0
0.6,80,3,87,,,8379,1265.0
0.6,80,4,87,,,8182,1262.0
0.6,80,5,87,,,8182,1237.0
0.7,25,1,24,2422.0,653.0,2434,736.0
0.7,25,2,24,2305.0,653.0,2434,735.0
0.7,25,3,24,2398.0,640.0,2442,728.0
0.7,25,4,24,2381.0,638.0,2442,693.0
0.7,25,5,24,2309.0,643.0,2439,733.0
0.7,30,1,31,3045.0,710.0,3107,808.0
0.7,30,2,31,3070.0,729.0,3089,815.0
0.7,30,3,31,3068.0,728.0,3060,813.0
0.7,30,4,31,3050.0,704.0,3060,805.0
0.7,30,5,31,2966.0,709.0,3030,802.0
0.7,40,1,41,,,3895,832.0
0.7,40,2,41,,,4008,927.0
0.7,40,3,41,,,4030,926.0
0.7,40,4,41,,,4012,922.0
0.7,40,5,41,,,3963,924.0
0.7,50,1,51,,,4963,1042.0
0.7,50,2,52,,,4990,903.0
0.7,50,3,51,,,5029,1033.0
0.7,50,4,51,,,4834,1034.0
0.7,50,5,52,,,5129,1023.0
0.7,60,1,60,,,5974,1099.0
0.7,60,2,60,,,5953,1104.0
0.7,60,3,60,,,5880,1103.0
0.7,60,4,61,,,5911,1101.0
0.7,60,5,61,,,5911,1103.0
0.7,70,1,73,,,7145,1223.0
0.7,70,2,73,,,7092,1211.0
0.7,70,3,74,,,7289,1196.0
0.7,70,4,74,,,7448,1208.0
0.7,70,5,74,,,7273,1201.0
0.7,80,1,81,,,7856,1280.0
0.7,80,2,82,,,8238,1283.0
0.7,80,3,82,,,8182,1257.0
0.7,80,4,82,,,8062,1280.0
0.7,80,5,82,,,7896,1263.0
0.8,25,1,22,,,2223,774.0
0.8,25,2,22,,,2204,775.0
0.8,25,3,22,,,2202,771.0
0.8,25,4,22,,,2197,772.0
0.8,25,5,22,,,2192,774.0
0.8,30,1,33,,,3171,744.0
0.8,30,2,34,,,3289,886.0
0.8,30,3,35,,,3367,899.0
0.8,30,4,34,,,3281,901.0
0.8,30,5,34,,,3393,911.0
0.8,40,1,47,,,4015,1024.0
0.8,40,2,45,,,4575,1027.0
0.8,40,3,46,,,4220,1012.0
0.8,40,4,46,,,4045,1010.0
0.8,40,5,46,,,4496,1027.0
0.8,50,1,51,,,5089,1071.0
0.8,50,2,52,,,5137,1074.0
0.8,50,3,52,,,5077,1079.0
0.8,50,4,52,,,5162,1075.0
0.8,50,5,52,,,5150,1075.0
0.8,60,1,62,,,6097,1170.0
0.8,60,2,62,,,5969,1170.0
0.8,60,3,62,,,6141,1180.0
0.8,60,4,62,,,6130,1158.0
0.8,60,5,62,,,6108,1171.0
0.8,70,1,70,,,6871,1275.0
0.8,70,2,70,,,6957,1280.0
0.8,70,3,70,,,6943,1278.0
0.8,70,4,70,,,6987,1272.0
0.8,70,5,70,,,6957,1292.0
0.8,80,1,86,,,8501,1635.0
0.8,80,2,86,,,7338,1591.0
0.8,80,3,86,,,8250,1583.0
0.8,80,4,86,,,7076,1562.0
0.8,80,5,86,,,7999,1531.0
0.9,25,1,23,,,2102,803.0
0.9,25,2,23,,,2281,822.0
0.9,25,3,23,,,2259,825.0
0.9,25,4,23,,,2264,825.0
0.9,25,5,23,,,2245,828.0
0.9,30,1,32,,,3164,925.0
0.9,30,2,32,,,3203,937.0
0.9,30,3,33,,,3200,924.0
0.9,30,4,33,,,3250,941.0
0.9,30,5,33,,,3218,929.0
0.9,40,1,44,,,4359,1052.0
0.9,40,2,44,,,4365,1044.0
0.9,40,3,44,,,4213,1015.0
0.9,40,4,44,,,4274,1033.0
0.9,40,5,43,,,4216,1034.0
0.9,50,1,50,,,4860,1110.0
0.9,50,2,50,,,4963,1113.0
